Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
các trò chơi của google,Informational,480,"0.54,0.82,1.00,1.00,0.67,0.82,0.54,0.54,0.67,0.67,0.44,0.44",33,0.00,0.01,"Sitelinks, Image pack, Video, Related searches"
các trò chơi hoạt náo,"Informational, Commercial",480,"0.81,1.00,0.81,0.66,0.66,0.54,0.44,0.44,0.29,0.36,0.36,0.36",46,5285.41,0.32,"AI Overview, Image pack, Video, Related searches"
các trò chơi không cần mạng,"Informational, Commercial",480,"0.06,0.06,0.06,0.09,0.07,0.07,0.07,0.09,0.07,0.07,0.13,1.00",45,2378.44,0.45,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi tập the vui nhộn trong lớp,"Informational, Commercial",480,"0.54,0.67,1.00,0.82,0.54,0.36,0.44,0.36,0.24,0.29,0.15,0.19",46,0.00,0.16,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi tập thể trong không gian hẹp,Informational,480,"0.29,0.05,0.36,0.66,0.54,0.44,0.81,1.00,0.81,1.00,0.81,1.00",22,0.00,0.37,"Featured snippet, Sitelinks, Image pack, Video, Related searches"
các trò chơi gây hứng thú cho trẻ mầm non,Informational,390,"0.54,0.81,1.00,1.00,0.66,0.24,0.54,0.54,0.36,0.29,0.29,0.24",30,0.00,0.15,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi hay,"Informational, Commercial",390,"0.30,0.25,0.25,0.25,0.16,0.20,0.20,0.20,0.20,0.20,0.13,1.00",55,0.00,0.46,"Sitelinks, Image pack, Video, Related searches"
các trò chơi online cho nhóm,Informational,390,"1.00,0.53,0.31,0.17,0.11,0.17,0.09,0.09,0.07,0.06,0.05,0.06",36,9778.01,0.17,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
các trò chơi team building ngoài trời,"Informational, Commercial",390,"1.00,0.54,0.81,0.67,0.44,0.23,0.35,0.67,0.67,0.67,0.67,0.67",33,1321.35,0.43,"Sitelinks, Image pack, Video, Related searches"
các trò chơi tiếng anh hay cho phần warm up,Informational,390,"0.54,0.66,1.00,0.66,0.54,0.29,0.54,0.54,0.36,0.29,0.29,0.29",18,0.00,0.01,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi vận động cho trẻ mầm non,Informational,390,"0.54,1.00,1.00,1.00,0.81,0.44,0.66,0.81,0.54,0.44,0.29,0.29",13,0.00,0.66,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi ở vinpearl nha trang,Informational,390,"1.00,0.36,0.36,0.19,0.29,0.29,0.44,0.44,0.44,0.81,1.00,1.00",26,3699.79,0.12,"Featured snippet, Sitelinks, AI Overview, Image, Video, Related searches"
tên các trò chơi dân gian,"Informational, Commercial",390,"0.67,0.67,1.00,0.81,0.81,0.54,0.81,0.81,0.81,0.54,0.35,0.35",49,0.00,0.03,"Sitelinks, Image pack, Video, Related searches"
các trò chơi cho trẻ em tiểu học,Informational,320,"1.00,1.00,0.67,0.54,0.44,0.44,0.29,0.44,0.35,0.67,0.54,0.54",30,0.00,0.78,"Featured snippet, AI Overview, Video, Related searches"
các trò chơi dân gian cho trẻ em,Informational,320,"0.66,1.00,0.66,0.15,0.19,0.29,0.24,0.24,0.29,0.24,0.24,0.15",46,264.27,0.64,"Featured snippet, Sitelinks, AI Overview, Video, Related searches"
các trò chơi ngày tết,Informational,320,"0.03,0.03,0.09,0.14,0.48,1.00,0.32,0.09,0.04,0.02,0.01,0.03",19,0.00,0.51,"Sitelinks, Image pack, Video, People also ask, Related searches"
các trò chơi dân gian ngày tết,"Informational, Commercial",260,"0.01,0.03,0.08,0.12,0.55,1.00,0.36,0.16,0.08,0.03,0.01,0.01",18,264.27,0.33,"Sitelinks, Image pack, Video, Related searches"
các trò chơi ngoài trời cho người lớn,Informational,260,"1.00,0.81,1.00,0.65,0.65,0.42,0.65,0.65,0.42,0.54,0.42,0.42",53,0.00,0.38,"Featured snippet, Sitelinks, AI Overview, Video, Related searches"
các trò chơi team building đơn giản,Informational,260,"1.00,0.81,1.00,0.81,0.53,0.53,0.44,0.81,0.44,0.53,0.44,0.53",31,5285.41,0.39,"Sitelinks, Image pack, Knowledge panel, Related searches"
các trò chơi tiếng anh,"Informational, Commercial",260,"0.81,1.00,1.00,1.00,0.81,0.53,0.66,0.53,0.53,0.44,0.44,0.81",28,0.00,0.01,"Sitelinks, Image, Video, Related searches"
các trò chơi trong lớp học vui nhộn,Informational,260,"0.09,1.00,0.53,0.81,0.22,0.03,0.34,0.22,0.12,0.03,0.03,0.06",52,0.00,0.14,"Featured snippet, Sitelinks, Image pack, Video, Related searches"
các trò chơi ở công viên nước sun world,"Informational, Commercial",260,"1.00,0.35,0.42,0.27,0.15,0.12,0.15,0.19,0.35,0.54,1.00,0.65",11,0.00,0.00,"Featured snippet, Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
các trò chơi ở công viên rồng,Informational,260,"0.44,0.13,0.28,0.82,1.00,0.44,0.44,0.82,0.44,0.36,0.54,0.54",9,0.00,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
các trò chơi ở đầm sen nước,Informational,260,"1.00,0.33,0.33,0.43,0.43,0.43,0.43,0.52,0.67,0.67,1.00,0.81",18,0.00,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
các trò chơi cho trẻ mầm non,"Informational, Commercial",210,"0.65,0.81,1.00,0.81,0.54,0.42,0.42,0.65,0.42,0.35,0.35,0.27",26,0.00,0.62,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi dân gian tập thể,"Informational, Commercial",210,"0.44,0.54,0.67,0.67,0.82,0.82,0.82,1.00,0.67,0.54,0.54,0.36",50,264.27,0.23,"Sitelinks, Image pack, Video, Related searches"
các trò chơi hay nhất,Informational,210,"0.06,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.04,1.00",55,0.00,0.51,"Sitelinks, Image pack, Video, Related searches"
các trò chơi ngoài trời cho học sinh tiểu học,Informational,210,"0.81,1.00,1.00,0.65,0.65,0.42,0.65,1.00,0.35,0.42,0.19,0.27",22,0.00,0.54,"AI Overview, Image pack, Video carousel, Related searches"
các trò chơi toán học lớp 5,,210,"0.26,0.04,1.00,0.72,0.04,0.17,0.04,0.04,0.04,0.11,0.07,0.04",,0.00,0.01,
các trò chơi trong running man,Informational,210,"0.65,0.81,0.81,1.00,0.81,0.54,0.42,0.54,0.27,0.42,0.35,0.35",15,0.00,0.02,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi trên powerpoint,"Informational, Commercial",210,"0.22,0.66,1.00,0.81,0.44,0.34,0.53,0.66,0.44,0.22,0.09,0.12",17,0.00,0.00,"AI Overview, Video, Related searches"
các trò chơi trải nghiệm cho trẻ mầm non,Informational,210,"0.54,0.54,1.00,0.67,0.54,0.36,0.44,0.54,0.28,0.13,0.13,0.23",21,0.00,0.88,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi tuổi thơ,Informational,210,"0.53,0.53,0.66,0.53,0.44,0.53,0.53,0.81,0.66,1.00,1.00,1.00",28,0.00,0.22,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi vận động,"Informational, Commercial",210,"0.65,1.00,1.00,0.81,0.65,0.42,0.65,1.00,0.54,0.42,0.54,0.42",16,0.00,0.62,"Sitelinks, Image pack, Video, Related searches"
các trò chơi warm up tiếng anh,Informational,210,"0.53,0.81,1.00,0.66,0.34,0.16,0.44,0.34,0.22,0.16,0.12,0.16",10,0.00,0.00,"Sitelinks, AI Overview, Related searches"
các trò chơi ở suối tiên,Informational,210,"0.66,0.22,0.34,0.28,0.53,0.81,1.00,0.81,1.00,0.66,1.00,1.00",22,792.81,0.02,"Featured snippet, AI Overview, Image, Video, Related searches"
các trò chơi ở đầm sen khô,Informational,210,"1.00,0.42,0.35,0.42,0.42,0.42,0.81,0.54,0.65,0.65,0.81,1.00",26,528.54,0.02,"Featured snippet, Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
các bài đồng dao trong trò chơi dân gian,Informational,170,"0.29,0.44,0.54,0.54,1.00,0.19,0.35,0.29,0.23,0.19,0.10,0.15",4,0.00,0.01,"AI Overview, Image, Image pack, Video, Related searches"
các trò chơi bằng tiếng anh,"Informational, Commercial",170,"0.81,0.81,1.00,0.81,0.81,0.54,0.81,0.54,0.42,0.35,0.35,0.42",40,0.00,0.06,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi cho trẻ 2 3 tuổi,Informational,170,"0.54,0.67,1.00,0.54,0.44,0.54,0.44,0.54,0.54,0.54,0.67,0.67",59,1585.62,0.43,"Featured snippet, Sitelinks, Image pack, Video carousel, Knowledge panel, Related searches"
các trò chơi dân gian cho trẻ mầm non,Informational,170,"0.52,0.81,1.00,1.00,1.00,0.81,1.00,0.81,0.81,0.33,0.33,0.24",41,264.27,0.38,"Featured snippet, Sitelinks, Video, Related searches"
các trò chơi hoạt náo trên xe,"Informational, Commercial",170,"0.54,0.54,0.54,0.54,0.42,0.27,0.54,1.00,0.65,0.54,0.42,0.54",10,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi hội chợ,"Informational, Commercial",170,"0.35,0.29,0.19,0.29,0.67,1.00,0.23,0.15,0.15,0.08,0.15,0.08",27,0.00,0.80,"Sitelinks, Image, Image pack, Video, Related searches"
các trò chơi hội chợ đơn giản,"Informational, Commercial",170,"0.54,0.35,0.19,0.29,0.54,1.00,0.19,0.19,0.10,0.10,0.08,0.10",26,0.00,0.95,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
các trò chơi nhân gian,"Informational, Commercial",170,"0.67,0.81,1.00,0.67,0.81,0.81,0.81,0.81,1.00,0.81,0.52,0.43",55,264.27,0.10,"Sitelinks, AI Overview, Video, Related searches"
các trò chơi team building trên biển,"Informational, Commercial",170,"0.65,0.54,0.42,0.42,0.27,0.12,0.27,0.27,0.54,0.81,1.00,1.00",44,0.00,0.25,"Sitelinks, Image pack, Video, Related searches"
các trò chơi thiếu nhi vui nhộn,Informational,170,"0.67,0.67,0.67,0.67,0.52,0.52,0.43,0.67,0.52,1.00,0.81,0.52",36,0.00,0.97,"Featured snippet, Sitelinks, Image pack, Video, Related searches"
các trò chơi trên máy tính casio fx 570vn plus,"Informational, Commercial",170,"0.27,0.54,1.00,1.00,1.00,0.54,0.65,0.65,0.54,0.42,0.15,0.19",19,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi tập thể vui nhộn,"Informational, Commercial",170,"0.65,0.54,1.00,0.65,0.35,0.35,0.54,0.65,0.27,0.35,0.42,0.42",44,264.27,0.34,"Sitelinks, AI Overview, Video, Related searches"
game y8 các trò chơi đã chơi,,170,"0.67,0.81,0.29,1.00,0.54,0.35,0.23,0.02,0.02,0.02,0.02,0.02",,0.00,0.05,
tải các trò chơi,"Informational, Transactional",170,"1.00,0.65,0.65,0.54,0.54,0.54,0.35,0.42,0.54,0.81,1.00,0.81",65,2378.44,0.56,"Sitelinks, Image pack, Video, Related searches"
vẽ các trò chơi dân gian,Informational,170,"0.05,0.23,0.54,0.44,0.54,1.00,1.00,0.44,0.82,0.28,0.03,0.03",22,0.00,0.02,"AI Overview, Image, Image pack, Video, Related searches"
các loại trò chơi miễn phí,"Informational, Commercial",140,"0.82,0.53,0.82,0.82,1.00,0.82,0.65,1.00,0.82,1.00,1.00,0.65",70,792.81,0.21,"Sitelinks, AI Overview, Video, Related searches"
các trò chơi cho cặp đôi yêu nhau,Informational,140,"1.00,0.53,0.65,0.82,0.82,1.00,1.00,0.82,0.53,0.53,0.65,0.53",46,0.00,0.93,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi dân gian trong lễ hội,"Informational, Commercial",140,"0.27,0.35,0.54,0.42,0.65,1.00,1.00,0.81,0.42,0.19,0.12,0.08",14,0.00,0.34,"Sitelinks, Image pack, Video, People also ask, Related searches"
các trò chơi khởi động,Informational,140,"0.42,0.54,1.00,0.65,0.54,0.35,0.65,0.65,0.27,0.15,0.15,0.15",18,0.00,0.00,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi ngày 8 3,,140,"0.01,0.00,0.08,0.03,0.05,0.02,1.00,0.44,0.05,0.01,0.01,0.00",,0.00,0.00,
các trò chơi tiếng anh cho trẻ tiểu học,"Informational, Commercial",140,"0.24,1.00,0.16,1.00,0.01,0.01,0.01,0.02,0.01,0.01,0.10,0.02",25,4756.87,0.20,"Sitelinks, Video, Related searches, Ads bottom"
các trò chơi trong 7 nụ cười xuân,"Informational, Transactional",140,"0.34,0.66,1.00,0.22,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03",26,0.00,0.00,"Video, Related searches"
các trò chơi trung thu,"Informational, Commercial",140,"0.39,1.00,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02",32,0.00,0.00,"Sitelinks, Image pack, Video, Knowledge panel, Related searches"
các trò chơi trên bàn nhậu,"Informational, Commercial",140,"0.03,0.02,0.15,0.02,1.00,0.19,0.02,0.05,0.03,0.02,0.03,0.02",42,0.00,1.00,"Sitelinks, Image pack, Video, Related searches"
các trò chơi trên máy tính,"Informational, Commercial",140,"1.00,1.00,1.00,0.82,0.64,0.64,1.00,0.82,1.00,1.00,0.82,0.82",59,1057.08,0.07,"Sitelinks, Image, Image pack, Video, Related searches"
các trò chơi tương tác khi thuyết trình,"Informational, Commercial",140,"0.22,0.66,1.00,0.66,0.28,0.12,0.44,0.34,0.34,0.22,0.16,0.06",32,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
các trò chơi vui,"Informational, Commercial",140,"0.79,0.64,0.79,0.64,0.64,1.00,0.36,0.64,0.79,0.64,0.79,0.64",47,0.00,0.76,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi ở hồ núi cốc,Informational,140,"0.28,0.03,0.18,0.54,0.82,0.23,0.36,1.00,0.28,0.18,0.18,0.13",12,0.00,0.01,"AI Overview, Image, Video, Related searches"
các trò chơi ở đại nam,"Informational, Commercial",140,"0.28,1.00,0.34,0.16,0.44,0.28,0.34,0.44,0.28,0.28,0.44,0.34",19,0.00,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
các nhân vật trong trò chơi ma sói,Informational,110,"0.16,0.16,0.28,0.34,0.28,0.28,0.44,0.53,0.53,1.00,0.44,0.44",29,0.00,0.18,"Featured snippet, Sitelinks, Video, Related searches"
các trò chơi bốc thăm làm theo yêu cầu,"Informational, Commercial",110,"0.05,0.05,0.81,0.24,1.00,0.52,0.05,0.19,0.10,0.05,0.05,0.05",11,0.00,0.80,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi cho trẻ 5 6 tuổi,"Informational, Commercial",110,"1.00,1.00,0.82,0.53,0.65,0.65,0.41,0.65,0.53,0.65,0.82,0.82",16,0.00,0.86,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi hoạt náo trên xe cho học sinh,"Informational, Commercial",110,"0.18,0.06,0.06,0.12,1.00,0.06,0.06,1.00,0.06,0.53,0.24,0.18",6,0.00,0.03,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi mạo hiểm,Informational,110,"1.00,1.00,0.79,0.64,0.64,0.36,0.50,0.64,0.64,0.64,0.79,1.00",19,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi ngoài trời cho trẻ mầm non,"Informational, Commercial",110,"0.79,1.00,1.00,1.00,0.79,0.36,0.79,0.64,0.50,0.14,0.21,0.14",5,0.00,0.63,"Sitelinks, Image pack, Video, Related searches"
các trò chơi online,Informational,110,"0.53,0.41,1.00,0.82,0.82,0.53,0.53,1.00,0.41,0.41,0.29,0.65",66,0.00,0.24,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches, Ads bottom"
các trò chơi powerpoint,"Informational, Commercial",110,"0.24,0.52,1.00,1.00,0.43,0.19,0.67,0.52,0.43,0.14,0.10,0.05",15,0.00,0.00,"Image, Image pack, Video, Related searches"
các trò chơi ppt,"Informational, Commercial",110,"0.24,0.52,1.00,1.00,0.43,0.19,0.67,0.52,0.43,0.14,0.10,0.05",13,0.00,0.00,"Image, Image pack, Video, Related searches"
các trò chơi sinh hoạt vòng tròn,"Informational, Commercial",110,"0.34,1.00,0.03,0.06,0.03,0.03,0.12,0.06,0.03,0.03,0.34,0.81",4,0.00,0.00,"Image, Image pack, Video, Related searches"
các trò chơi team building trí tuệ,"Informational, Commercial",110,"1.00,0.02,0.44,0.44,0.02,0.02,0.02,0.04,0.08,0.04,0.02,0.02",36,0.00,0.64,"Sitelinks, Image pack, Video, Related searches"
các trò chơi tiếng anh cho học sinh cấp 2,"Informational, Commercial",110,"0.54,0.42,1.00,0.81,0.54,0.42,0.81,0.65,0.42,0.42,0.27,0.42",26,6078.22,0.14,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches, Ads bottom, Ads middle"
các trò chơi tiếng anh cho người lớn,"Informational, Commercial",110,"0.72,1.00,0.59,0.72,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.05",15,0.00,0.13,"Sitelinks, Image pack, Video, Related searches"
các trò chơi toán học lớp 3,"Informational, Commercial",110,"0.27,0.42,0.81,1.00,0.81,0.54,0.42,0.54,0.35,0.27,0.15,0.27",12,264.27,0.03,"AI Overview, Video, Related searches, Ads top, Ads bottom"
các trò chơi toán học lớp 4,"Informational, Commercial",110,"0.33,0.52,1.00,0.81,0.67,0.52,0.67,0.67,0.81,0.52,0.33,0.33",16,264.27,0.10,"Sitelinks, Image pack, Video, Related searches"
các trò chơi trong nhà,Informational,110,"0.19,0.54,1.00,0.15,0.02,0.02,0.05,0.03,0.15,0.05,0.02,0.44",48,0.00,0.61,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
các trò chơi trên giấy,Informational,110,"0.11,0.11,0.11,1.00,0.11,1.00,0.44,0.11,0.44,0.11,0.22,0.11",19,0.00,0.01,"Sitelinks, Image pack, Video, Related searches"
các trò chơi trí tuệ,"Informational, Commercial",110,"1.00,1.00,0.67,0.05,0.19,0.10,0.43,0.10,0.14,0.05,0.24,0.05",53,0.00,0.64,"Sitelinks, Video, Related searches"
các trò chơi trẻ em,Informational,110,"0.55,0.01,0.06,0.12,0.82,0.01,0.01,0.10,0.01,0.01,0.01,1.00",34,1585.62,0.95,"Sitelinks, AI Overview, Image, Video, Related searches"
các trò chơi tập thể ngoài trời,Informational,110,"0.07,0.07,1.00,0.50,0.07,0.07,0.14,0.79,0.07,0.36,0.07,0.07",45,0.00,0.41,"Sitelinks, AI Overview, Video, Related searches"
các trò chơi vui nhộn,"Informational, Commercial",110,"0.14,0.21,0.79,0.07,0.14,0.21,0.07,1.00,0.21,0.07,0.07,0.50",46,0.00,0.77,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi về toán học cho trẻ mầm non,Informational,110,"0.42,0.42,1.00,0.65,0.12,0.04,0.04,0.04,0.08,0.04,0.35,0.04",9,0.00,0.40,"AI Overview, Image pack, Video, Related searches"
các trò chơi warm up hay,Informational,110,"0.44,0.03,0.36,1.00,0.03,0.05,0.03,0.82,0.03,0.03,0.18,0.05",9,0.00,0.01,"Sitelinks, AI Overview, Related searches"
các trò chơi ở bà nà hill,,110,"0.65,0.15,0.27,0.19,0.12,0.12,0.19,0.27,0.42,0.54,1.00,1.00",,528.54,0.13,
các trò chơi ở thiên đường bảo sơn,"Informational, Transactional",110,"0.52,0.24,0.33,0.52,0.52,0.43,0.67,1.00,0.81,0.52,0.81,0.67",19,0.00,0.01,"AI Overview, Image, Video, Related searches"
hình ảnh các trò chơi dân gian,Informational,110,"0.33,0.43,0.81,0.67,0.81,1.00,1.00,0.81,0.81,0.33,0.19,0.19",45,0.00,0.06,"Sitelinks, Image, Image pack, Video, Related searches"
tranh tô màu các trò chơi dân gian,,110,"0.06,0.02,0.02,0.02,0.01,0.01,1.00,0.36,0.12,0.01,0.01,0.01",,0.00,0.82,
các bước tổ chức trò chơi,Informational,90,"0.14,0.14,0.29,0.14,0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14",9,0.00,0.00,"AI Overview, Image pack, Video, Related searches"
các trò chơi 8 3,,90,"0.00,0.03,0.08,0.03,0.05,0.00,1.00,1.00,0.10,0.18,0.03,0.00",,0.00,0.00,
các trò chơi bài,Informational,90,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14",54,0.00,0.29,"Sitelinks, Video, Related searches"
các trò chơi bãi biển,"Informational, Commercial",90,"0.20,0.20,0.20,1.00,0.20,0.40,0.80,0.20,0.60,0.20,0.20,0.20",46,0.00,0.52,"Sitelinks, Image pack, Video, People also ask, Related searches"
các trò chơi cho bé mẫu giáo,"Informational, Commercial",90,"0.14,0.29,0.14,1.00,0.14,0.14,0.14,0.29,0.57,0.14,0.00,0.00",23,0.00,0.40,"Sitelinks, Video, People also ask, Related searches"
các trò chơi cho học sinh tiểu học,"Informational, Commercial",90,"0.25,0.50,0.25,0.75,0.25,0.75,0.75,1.00,0.25,0.75,0.25,0.25",10,0.00,0.57,"Sitelinks, AI Overview, Video, Related searches"
các trò chơi cho trẻ em,"Informational, Commercial",90,"1.00,0.34,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.34,0.34,0.16",42,0.00,0.59,"Sitelinks, Image, Image pack, Video, Related searches"
các trò chơi cảm giác mạnh,Informational,90,"0.54,0.03,0.03,0.08,0.03,0.03,0.03,0.03,0.08,1.00,0.03,0.36",10,0.00,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
các trò chơi dành cho con gái,,90,"0.01,0.01,0.01,0.08,0.01,0.03,0.01,0.01,0.01,0.08,0.02,1.00",,0.00,0.53,
các trò chơi dành cho thiếu nhi,"Informational, Commercial",90,"0.40,0.60,1.00,0.60,0.20,0.20,0.20,0.60,1.00,0.40,0.20,0.20",37,0.00,0.25,"Sitelinks, Image, Image pack, Video, Related searches"
các trò chơi dân gian nhật bản,Informational,90,"0.20,0.20,0.20,0.20,0.40,1.00,0.20,0.20,0.40,0.20,0.20,0.60",50,0.00,0.01,"Featured snippet, Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi dưới nước cho trẻ,Informational,90,"0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00",15,0.00,0.68,"Featured snippet, Sitelinks, AI Overview, Image, Video, Related searches"
các trò chơi game,"Informational, Commercial",90,"1.00,0.79,0.50,0.79,0.79,0.79,0.64,1.00,0.50,0.64,0.64,0.79",58,0.00,0.75,"Sitelinks, Image pack, Video, Related searches"
các trò chơi giáng sinh,"Informational, Commercial",90,"0.09,0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.00,0.36",44,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
các trò chơi hay nhất trên android,Informational,90,"0.00,0.11,1.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00",53,0.00,0.00,"Sitelinks, Image pack, Video, Video carousel, Related searches"
các trò chơi học tập,,90,"0.10,1.00,0.19,0.15,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01",,0.00,0.53,
các trò chơi lớp nhà trẻ,"Informational, Commercial",90,"0.11,0.22,0.78,0.22,0.44,0.11,0.11,0.33,0.11,0.11,0.11,1.00",25,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
các trò chơi ngoài trời,Informational,90,"0.02,0.08,0.29,1.00,0.05,0.02,0.03,0.02,0.08,0.03,0.02,0.02",53,0.00,0.40,"Featured snippet, Sitelinks, AI Overview, Image pack, Video carousel, Related searches"
các trò chơi scratch,Informational,90,"0.19,0.43,1.00,0.52,0.33,0.52,0.43,0.43,1.00,0.81,0.43,0.52",24,0.00,0.00,"Image, Image pack, Video, Related searches"
các trò chơi sinh hoạt,"Informational, Commercial",90,"1.00,1.00,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50",46,0.00,0.05,"Sitelinks, AI Overview, Image pack, Video, Related searches"
